model,zero,median,mean,bfill,ffill,knn,mice,DLine,idx
2.2106087,1938.9552,11.740914,11.828501,9.350079,12.796831,8.679806,10.798688,127.31549,180
9.250045,3404.5352,54.671753,53.52547,6.336064,7.079975,13.035298,6.951641,218.27032,182
5.0832753,3389.483,22.303295,23.862461,12.268096,28.76276,18.251308,11.30714,205.28716,185
13.434195,4346.6006,61.08109,67.01803,9.070694,13.71955,44.02345,27.708984,484.5819,183
6.875502,3764.366,23.045101,19.548384,8.475031,14.924949,15.798027,13.353156,482.0183,181
46.28669,3130.486,147.20107,121.76706,24.7744,53.069,69.75212,37.170296,253.56923,186
8.659169,1929.2533,46.2083,44.89733,9.641277,22.655277,37.466217,18.151253,300.3104,189
5.1721725,4541.8315,23.259336,23.369255,16.012148,15.626873,15.646641,13.075307,196.45346,187
22.498762,2856.1,49.784313,41.006855,22.631725,61.426064,28.59003,21.679188,174.66638,188
12.853391,2526.647,29.64324,22.63986,12.18047,30.354118,26.079765,16.556082,238.75854,192
11.575343,1586.4967,38.442932,39.176857,16.8178,16.995825,31.14932,27.011452,268.1199,191
1.7056875,2664.8247,18.38887,16.583885,2.33818,5.2958565,16.944456,7.6665745,262.8962,194
21.514893,3783.4065,44.987972,43.224205,16.399796,20.247145,25.117313,18.877071,202.82724,190
8.131001,2895.0,26.75421,36.587955,5.3214126,6.639394,9.444583,8.813019,211.876,195
33.86845,2870.0166,84.968605,84.4485,30.66066,39.86981,53.569637,43.29001,166.68065,193
10.337087,1521.1189,25.96266,25.66008,4.6939116,19.625622,13.811791,45.75998,95.583,196
9.358837,2921.744,20.824156,19.542639,11.922785,47.526264,15.455437,11.501536,325.0916,198
13.1774435,3416.731,78.489914,56.900322,8.450997,22.347311,26.173855,39.44656,480.30133,197
1.2336257,3316.5308,17.321346,17.910725,6.401315,8.702557,9.391539,12.274387,242.79022,199
9.261802,3825.9482,48.782818,48.019543,23.281002,29.964336,47.380234,45.30162,234.13148,203
25.613289,1863.0374,110.370575,78.53208,10.361073,68.11523,36.527267,83.40844,168.09882,204
3.4968429,2266.583,22.281673,22.013666,17.339119,49.009293,18.917667,57.780106,131.84882,205
41.909893,4287.4624,177.28284,118.28238,27.023455,45.546803,67.969284,37.807003,392.56464,201
10.676959,2038.2949,81.77425,73.39759,22.39507,42.86029,51.956856,76.82694,187.0836,200
21.02891,2911.4219,52.818996,49.653034,24.548822,49.753113,33.820724,25.510174,221.38246,202
29.217035,5225.0513,80.00629,64.55585,21.507395,10.499045,28.305845,23.009897,330.48517,207
1.1961672,966.8496,10.64207,10.884651,6.3654885,6.06117,12.229259,6.9505415,72.2667,206
4.476085,2483.4688,14.978797,11.559718,4.2186937,2.911765,4.752013,2.6448696,122.036255,209
21.427427,1800.4519,54.695168,53.155006,12.001188,11.604896,20.040468,40.339928,188.13155,208
3.6918023,3143.429,16.833445,18.129639,12.601638,16.279848,15.367488,18.964283,190.50128,210
1.8953557,1557.5875,16.600159,17.553259,19.11543,15.293237,16.161161,13.6583805,147.62633,214
37.24461,4662.122,111.34286,90.54169,18.05459,32.365444,52.002464,23.31908,1054.8533,213
14.0024395,1557.4392,80.56634,66.77892,22.385277,43.810734,59.870537,60.98546,194.3787,215
7.2076244,2854.7246,27.859175,36.222805,16.436163,179.54129,20.05693,18.470163,197.9831,212
10.694174,3530.5996,16.05948,16.144619,14.42889,26.135147,15.2545,12.180069,205.74673,211
